"quadrat_id","species_ids"
"2024-CEV3-20240602","[1360194, 1392598, 1360187, 1360193]"
"CBN-PdlC-A1-20130807","[1396471, 1741624, 1722444, 1394641, 1397468, 1396869, 1742114, 1396185, 1742052, 1742064, 1360591, 1412857, 1361079, 1743924, 1397439, 1361077, 1722440, 1392608]"
"CBN-PdlC-A1-20130903","[1394322, 1394540, 1397468, 1412857, 1519650, 1743971, 1396869, 1742052, 1394641, 1396411, 1396185, 1395974, 1722444, 1394336, 1396417, 1492664, 1722437, 1743396, 1392608]"
"CBN-PdlC-A1-20140721","[1359835, 1394911, 1397535, 1390641, 1390846, 1364072, 1396109, 1356419, 1359342, 1360654, 1357142, 1519650, 1722444, 1743924]"
"CBN-PdlC-A1-20140811","[1412857, 1390793, 1395974, 1743913, 1392608, 1361382]"
"CBN-PdlC-A1-20140901","[1558164, 1392553, 1392565, 1391120, 1390872, 1397439, 1394895, 1392608, 1395063, 1741767, 1358496, 1361091, 1394589, 1391840]"
"CBN-PdlC-A1-20150701","[1396094, 1391331, 1741624, 1390793, 1412857, 1398167, 1394322, 1392608]"
"CBN-PdlC-A1-20150720","[1391120, 1393824, 1425936, 1397524, 1360563, 1743971, 1397528, 1394641, 1397535]"
"CBN-PdlC-A1-20150831","[1742052, 1519650, 1395990, 1392553, 1397046, 1393824, 1394643, 1412857, 1646497, 1418612, 1361255, 1398824, 1360299, 1392608, 1392611, 1426085]"
"CBN-PdlC-A1-20160705","[1394908, 1394911, 1743971, 1393824, 1394540, 1397535, 1390793, 1390872, 1412857, 1356359, 1357577, 1356042, 1363550, 1360299, 1392608]"
"CBN-PdlC-A1-20160726","[1392553, 1394641, 1394908, 1397046, 1397535, 1519650, 1549015, 1742052, 1412857, 1390793, 1390872, 1361389, 1395974, 1392608]"
"CBN-PdlC-A1-20170816","[1394641, 1742052, 1393340, 1558164, 1395974, 1359937, 1664614, 1395063, 1743971, 1392608, 1394840]"
"CBN-PdlC-A1-20170906","[1394999, 1394540, 1396253, 1397468, 1743971, 1426085, 1390898, 1418612, 1391331, 1519650, 1359511, 1394336, 1396869, 1398816, 1742052, 1412857, 1394613, 1701831, 1722437, 1743913, 1743924, 1390846, 1356359, 1392608, 1394840, 1396417, 1741834, 1664563]"
"CBN-PdlC-A1-20180702","[1398824, 1357928, 1395974, 1361382]"
"CBN-PdlC-A1-20180815","[1426085, 1359511, 1398824]"
"CBN-PdlC-A1-20180905","[1519650, 1742052, 1397467, 1412857, 1398824, 1395974]"
"CBN-PdlC-A1-20190701","[1701506, 1355992, 1357988, 1362348, 1392662, 1394336, 1394565, 1394613, 1396417, 1396471, 1396869, 1397942, 1502503, 1503192, 1722437, 1722444, 1737655, 1743396, 1743924, 1741600, 1743465, 1395974, 1398824]"
"CBN-PdlC-A1-20190722","[1396843, 1427744, 1442193, 1356399, 1360981, 1512231, 1392626, 1397524, 1397468, 1359835, 1392611, 1392608]"
"CBN-PdlC-A1-20190812","[1393224, 1360840, 1743971, 1360299, 1392608, 1426085, 1361647, 1390846, 1361079, 1396869, 1478563, 1355993, 1512231]"
"CBN-PdlC-A1-20190909","[1391331, 1389815, 1396471, 1394641, 1361045, 1742052, 1395974, 1741805, 1743422, 1391494, 1392608, 1363333, 1558164, 1362745, 1397468]"
"CBN-PdlC-A1-20200629","[1361528, 1390790, 1356564]"
"CBN-PdlC-A1-20200722","[1397046, 1549015, 1392534, 1392549, 1394540, 1390846, 1392608, 1360299, 1512231]"
"CBN-PdlC-A1-20200812","[1397535, 1398824, 1495503, 1412857, 1396057, 1355993, 1360299]"
"CBN-PdlC-A2-20130807","[1394322, 1361079, 1390785, 1390846, 1396471, 1396869, 1396857, 1412857, 1396737, 1356370, 1397524, 1360591, 1388915, 1389368]"
"CBN-PdlC-A2-20130903","[1395718, 1396471, 1396869, 1395974, 1743465, 1396737, 1744569, 1394895, 1437724]"
