"quadrat_id","species_ids"
"2024-CEV3-20240602","[1392598, 1360193]"
"CBN-PdlC-A1-20130807","[1396471, 1741624, 1396471, 1394641, 1397468, 1396471, 1742052, 1360591, 1396185, 1396471, 1743924, 1392608]"
"CBN-PdlC-A1-20130903","[1743971, 1396185, 1395974, 1395974, 1722444, 1394336, 1396417, 1492664, 1722437, 1722444]"
"CBN-PdlC-A1-20140721","[1359835, 1394911, 1390846, 1364072, 1743924, 1390846]"
"CBN-PdlC-A1-20140811","[1412857, 1412857, 1412857, 1395974, 1743913, 1392608, 1743913, 1392608, 1392608]"
"CBN-PdlC-A1-20140901","[1392553, 1391120, 1394895, 1392608, 1395063, 1741767, 1392608, 1392608, 1361091, 1391840]"
"CBN-PdlC-A1-20150701","[1396094, 1741624, 1392608]"
"CBN-PdlC-A1-20150720","[1393824, 1397524, 1397535]"
"CBN-PdlC-A1-20150831","[1742052, 1393824, 1394643, 1412857, 1646497, 1742052, 1418612, 1361255, 1398824, 1392608, 1392611]"
"CBN-PdlC-A1-20160705","[1394908, 1394911, 1743971, 1394540, 1390793, 1356359, 1412857, 1360299]"
"CBN-PdlC-A1-20160726","[1392553, 1394641, 1394908, 1397046, 1394641, 1549015, 1361389, 1392608]"
"CBN-PdlC-A1-20170816","[1394641, 1742052, 1395974, 1743971]"
"CBN-PdlC-A1-20170906","[1394540, 1743971, 1426085, 1390898, 1359511, 1391331, 1396869, 1742052, 1412857, 1394336, 1394613, 1743913, 1743924, 1356359, 1390846, 1392608, 1394840, 1722437, 1741834, 1390846, 1664563]"
"CBN-PdlC-A1-20180702","[1398824, 1357928, 1398824, 1398824, 1395974, 1398824]"
"CBN-PdlC-A1-20180815","[1426085, 1398824]"
"CBN-PdlC-A1-20180905","[1519650, 1412857]"
"CBN-PdlC-A1-20190701","[1355992, 1357988, 1394613, 1396417, 1502503, 1722437, 1722444, 1737655, 1743924, 1395974, 1398824, 1398824]"
"CBN-PdlC-A1-20190722","[1396843, 1360981, 1397524]"
"CBN-PdlC-A1-20190812","[1743971, 1361079, 1390846, 1396869, 1355993, 1512231]"
"CBN-PdlC-A1-20190909","[1361045, 1395974, 1743422, 1395974, 1743422, 1392608, 1392608]"
"CBN-PdlC-A1-20200629","[1361528]"
"CBN-PdlC-A1-20200722","[1397046, 1549015, 1549015, 1549015, 1392608, 1392608]"
"CBN-PdlC-A1-20200812","[1495503, 1412857, 1360299]"
"CBN-PdlC-A2-20130807","[1396471, 1396869, 1396857, 1396857, 1396869, 1412857, 1397524, 1360591, 1396737, 1396737]"
"CBN-PdlC-A2-20130903","[1395974, 1394895, 1395974, 1395974]"
"CBN-PdlC-A2-20140721","[1744235, 1396737, 1356370, 1357577, 1396737]"
"CBN-PdlC-A2-20140901","[1394322, 1396185, 1742052, 1396185, 1558164, 1412857, 1395990, 1394322, 1394895, 1395974, 1741805, 1396471, 1396869, 1743924, 1355992, 1396417]"
"CBN-PdlC-A2-20150720","[1394540, 1412857, 1396094, 1395974, 1396737]"
"CBN-PdlC-A2-20150810","[1412857, 1363741, 1395974, 1396737, 1393314, 1558164]"
"CBN-PdlC-A2-20150831","[1512231, 1393824, 1742052, 1412857, 1741624, 1393824, 1741624, 1392535, 1412857, 1412857, 1412857, 1394643, 1412857, 1395974, 1396737, 1395974, 1356871, 1396737]"
