"quadrat_id","species_ids"
"2024-CEV3-20240602","[1391989, 1356804, 1395045, 1392608]"
"CBN-PdlC-A1-20130807","[1489036, 1392662, 1396471, 1722444, 1392565, 1395990, 1741624, 1394641, 1742052, 1412857, 1396869, 1396185, 1360591, 1392608]"
"CBN-PdlC-A1-20130903","[1392050, 1412857, 1743971, 1394641, 1742052, 1362745, 1392608, 1722444, 1722437]"
"CBN-PdlC-A1-20140721","[1394911, 1744235, 1363741, 1393771, 1355992, 1426085, 1743924]"
"CBN-PdlC-A1-20140811","[1412857, 1395974, 1390793, 1356359, 1392608]"
"CBN-PdlC-A1-20140901","[1742052, 1394641, 1646497, 1392608, 1741767, 1363133, 1391840]"
"CBN-PdlC-A1-20150701","[1396253, 1395990, 1558164, 1392565, 1391331, 1395974, 1392608]"
"CBN-PdlC-A1-20150720","[1393824, 1360312, 1396843, 1425936, 1397535, 1742180, 1361382]"
"CBN-PdlC-A1-20150831","[1519650, 1394641, 1742052, 1394643, 1412857, 1392614, 1741767, 1392608]"
"CBN-PdlC-A1-20160705","[1743971, 1394911, 1390793, 1743646, 1360299, 1392608]"
"CBN-PdlC-A1-20160726","[1549015, 1394641, 1742052, 1412857, 1744235, 1397467]"
"CBN-PdlC-A1-20170816","[1360110, 1395990, 1394641, 1742052, 1558164, 1412857, 1395974, 1363741, 1394840, 1392608]"
"CBN-PdlC-A1-20170906","[1359511, 1361079, 1390898, 1390934, 1394336, 1411648, 1502503, 1394554, 1489036, 1738627, 1391331, 1742052, 1394613, 1412857, 1743913, 1743924, 1395974, 1390846, 1355992]"
"CBN-PdlC-A1-20180702","[1398824]"
"CBN-PdlC-A1-20180815","[1742523, 1423209, 1398824]"
"CBN-PdlC-A1-20180905","[1394540, 1412857, 1356399]"
"CBN-PdlC-A1-20190701","[1701506, 1743465, 1737655, 1355992, 1722437, 1743924, 1392565, 1395974, 1398824]"
"CBN-PdlC-A1-20190722","[1425936, 1356775, 1359835, 1356399, 1742180, 1397468]"
"CBN-PdlC-A1-20190812","[1363741, 1743971, 1394540, 1390846]"
"CBN-PdlC-A1-20190909","[1395974, 1393619, 1362745]"
"CBN-PdlC-A1-20200629","[1356564]"
"CBN-PdlC-A1-20200722","[1392534, 1392549, 1392553, 1549015, 1649664, 1392608]"
"CBN-PdlC-A1-20200812","[1394540, 1356394, 1398824, 1355993, 1358654, 1360299]"
"CBN-PdlC-A2-20130807","[1396869, 1396471, 1394322, 1356356, 1743971, 1395990, 1741624, 1412857, 1360984, 1395807, 1396737, 1722015]"
"CBN-PdlC-A2-20130903","[1355992, 1361079, 1361514, 1502503, 1743256, 1395974, 1743465, 1356370]"
"CBN-PdlC-A2-20140721","[1363741, 1356370, 1396737, 1394502, 1396094, 1396869]"
"CBN-PdlC-A2-20140901","[1394322, 1395990, 1743801, 1412857, 1742052, 1392565, 1397046, 1394895, 1395974, 1359521, 1359444, 1391646, 1396471, 1742099, 1743924]"
"CBN-PdlC-A2-20150720","[1360312, 1389815, 1394540, 1358147, 1397524, 1412857, 1393200, 1397500, 1394603, 1395974, 1397528, 1396737]"
"CBN-PdlC-A2-20150810","[1412857, 1357577, 1363741, 1395974]"
"CBN-PdlC-A2-20150831","[1412857, 1396253, 1741624, 1742052, 1356370, 1395974]"
