"quadrat_id","species_ids"
"2024-CEV3-20240602","[1360187, 1360193, 1360208, 1360217, 1360222, 1360223, 1360304, 1360307, 1360874, 1360931, 1362363, 1362443, 1363944, 1363993, 1364120, 1391360, 1391989, 1392599, 1392608, 1392774, 1394359, 1394636, 1394848, 1395045, 1395114, 1395132, 1395715, 1395990, 1396481, 1397516, 1398644, 1400125, 1400175, 1413421, 1737650, 1738042]"
"CBN-PdlC-A1-20130807","[1359921, 1360591, 1361079, 1392565, 1392608, 1394322, 1394641, 1395990, 1396185, 1396471, 1396869, 1397513, 1412857, 1489036, 1722444, 1741624, 1742052, 1743397, 1743924]"
"CBN-PdlC-A1-20130903","[1356359, 1362745, 1391331, 1392400, 1392553, 1392608, 1394336, 1394372, 1394641, 1394908, 1394911, 1394913, 1395974, 1395990, 1396118, 1396185, 1396857, 1396869, 1397123, 1412857, 1722437, 1722444, 1742052]"
"CBN-PdlC-A1-20140721","[1355992, 1356356, 1356370, 1357142, 1357577, 1361079, 1361373, 1361382, 1362066, 1362293, 1362711, 1363550, 1363741, 1390793, 1390846, 1390898, 1392137, 1392193, 1393771, 1394065, 1394289, 1394414, 1394908, 1394911, 1394999, 1396094, 1396097, 1396144, 1396471, 1396733, 1396869, 1397046, 1397535, 1397942, 1398824, 1402995, 1412857, 1426085, 1478563, 1512231, 1622908, 1741601, 1743924]"
"CBN-PdlC-A1-20140811","[1356359, 1390793, 1392608, 1395974, 1412857]"
"CBN-PdlC-A1-20140901","[1355992, 1356401, 1356419, 1356883, 1358496, 1363133, 1391120, 1391185, 1391331, 1391755, 1391840, 1391841, 1392608, 1394848, 1394850, 1394855, 1394884, 1394895, 1395974, 1396185, 1396717, 1397439, 1397468, 1412857, 1622895, 1646497, 1667464, 1741708, 1741767, 1742052, 1743221, 1744004]"
"CBN-PdlC-A1-20150701","[1356275, 1360299, 1363741, 1391331, 1391755, 1392608, 1394322, 1394540, 1394641, 1394840, 1394908, 1394911, 1395974, 1396253, 1396464, 1397046, 1397468, 1397535, 1398675, 1398824, 1412857, 1512231, 1519650, 1646497, 1741624, 1742052, 1743465]"
"CBN-PdlC-A1-20150720","[1355993, 1390641, 1390846, 1393824, 1394540, 1394641, 1397468, 1397535, 1402995]"
"CBN-PdlC-A1-20150831","[1355993, 1360299, 1392608, 1393824, 1394641, 1398824, 1412857, 1519650, 1549015, 1742052, 1743971]"
"CBN-PdlC-A1-20160705","[1355993, 1355997, 1358496, 1359342, 1359632, 1360299, 1361079, 1362331, 1389771, 1390793, 1390846, 1392608, 1392611, 1394336, 1394540, 1394613, 1394857, 1394866, 1394911, 1395935, 1396663, 1396843, 1396869, 1397524, 1397535, 1398237, 1412857, 1503192, 1519650, 1549015, 1701831, 1722437, 1722444, 1737656, 1743316, 1743646, 1743913]"
