"quadrat_id","species_ids"
"2024-CEV3-20240602","[1360222, 1362443, 1391360]"
"CBN-PdlC-A1-20130807","[1359921, 1392608, 1394641, 1396185, 1396471, 1396869, 1412857, 1722444, 1742052]"
"CBN-PdlC-A1-20130903","[1392553, 1392608, 1394641, 1395990, 1722444]"
"CBN-PdlC-A1-20140721","[1355992, 1361373, 1363741, 1396869, 1397046, 1743924]"
"CBN-PdlC-A1-20140811","[1356359, 1390846, 1392608, 1395974, 1412857]"
"CBN-PdlC-A1-20140901","[1391120, 1392608, 1646497, 1742052]"
"CBN-PdlC-A1-20150701","[1391331, 1392608, 1398824]"
"CBN-PdlC-A1-20150720","[1356370, 1361872, 1390641, 1396296, 1396843, 1397046]"
"CBN-PdlC-A1-20150831","[1392614, 1394641, 1394643, 1519650, 1741767, 1742052]"
"CBN-PdlC-A1-20160705","[1355993, 1360299, 1361079]"
"CBN-PdlC-A1-20160726","[1392608, 1394641]"
"CBN-PdlC-A1-20170816","[1395974, 1742052]"
"CBN-PdlC-A1-20170906","[1394336, 1412857]"
"CBN-PdlC-A1-20180702","[1398824]"
"CBN-PdlC-A1-20180815","[1398824, 1737565]"
"CBN-PdlC-A1-20180905","[1356399, 1395974, 1412857]"
"CBN-PdlC-A1-20190701","[1355992, 1394613, 1395974, 1398824, 1722444, 1741601, 1743465, 1743913, 1743924]"
"CBN-PdlC-A1-20190722","[1361079, 1393946, 1396869, 1502503, 1743397]"
"CBN-PdlC-A1-20190812","[1390846, 1398824, 1744194]"
"CBN-PdlC-A1-20190909","[1362745, 1391331]"
"CBN-PdlC-A1-20200629","[1361079, 1722437]"
"CBN-PdlC-A1-20200722","[1392553, 1393824, 1394540, 1549015, 1742052]"
"CBN-PdlC-A1-20200812","[1360299, 1392553, 1396307]"
"CBN-PdlC-A2-20130807","[1396869]"
"CBN-PdlC-A2-20130903","[1355992, 1361079, 1394613, 1396471, 1396869, 1701831, 1722444, 1743924]"
"CBN-PdlC-A2-20140721","[1363741, 1396737, 1741834, 1743924]"
"CBN-PdlC-A2-20140901","[1391337, 1395974, 1395990, 1396869]"
"CBN-PdlC-A2-20150720","[1393946, 1396869, 1412857]"
"CBN-PdlC-A2-20150810","[1356589, 1395974, 1412857]"
"CBN-PdlC-A2-20150831","[1412857]"
"CBN-PdlC-A2-20160705","[1394336, 1394613, 1395974, 1396253, 1396869, 1722444, 1743913, 1743924]"
"CBN-PdlC-A2-20160726","[1391331, 1393200, 1395807, 1395974, 1396869, 1412857, 1743337]"
"CBN-PdlC-A2-20170816","[1390846, 1395974, 1412857]"
"CBN-PdlC-A2-20180702","[1394336, 1395974, 1396869, 1722437, 1722444, 1743924]"
"CBN-PdlC-A2-20180723","[1396869]"
"CBN-PdlC-A2-20180815","[1361079, 1396869, 1398824, 1722444]"
"CBN-PdlC-A2-20180905","[1359511, 1361079, 1394613, 1395974]"
"CBN-PdlC-A2-20190701","[1395974, 1396869, 1398824, 1743924]"
"CBN-PdlC-A2-20190722","[1361079, 1394336, 1396417, 1396471, 1396737, 1396869, 1502503, 1503192, 1549015, 1622908, 1722437, 1722444, 1738592, 1741834, 1743422, 1743924]"
"CBN-PdlC-A2-20190812","[1394336, 1396869]"
"CBN-PdlC-A2-20190909","[1361079, 1395807, 1395974, 1396417, 1412857, 1722437, 1722444, 1741834, 1743924]"
"CBN-PdlC-A2-20200629","[1395974, 1722437]"
"CBN-PdlC-A2-20200722","[1395974, 1396869]"
"CBN-PdlC-A2-20200812","[1356370, 1356669, 1356871, 1361079, 1361647, 1393946, 1394336, 1396869, 1502503, 1722444]"
"CBN-PdlC-A3-20130807","[1356669, 1394540, 1395807, 1397524, 1397535]"
"CBN-PdlC-A3-20130903","[1392608]"
"CBN-PdlC-A3-20140721","[1363741, 1390785, 1393200, 1402995, 1532449]"
"CBN-PdlC-A3-20140811","[1392608, 1412857]"
"CBN-PdlC-A3-20140901","[1392608, 1412857]"
"CBN-PdlC-A3-20150701","[1355992, 1390846, 1391331, 1397535, 1505431]"
"CBN-PdlC-A3-20150720","[1393200]"
"CBN-PdlC-A3-20150810","[1392608, 1393200, 1393619, 1397528]"
"CBN-PdlC-A3-20150831","[1393200, 1394857, 1398569, 1412857]"
"CBN-PdlC-A3-20160705","[1392608, 1393200, 1394857, 1397535, 1412857]"
"CBN-PdlC-A3-20160726","[1393200, 1393824, 1398824]"
"CBN-PdlC-A3-20170816","[1393619, 1394643, 1412857]"
"CBN-PdlC-A3-20170906","[1394866, 1396869, 1412857]"
"CBN-PdlC-A3-20180702","[1363741]"
"CBN-PdlC-A3-20180723","[1356947, 1392608, 1393200, 1394289, 1394502, 1396869, 1397046, 1412857, 1722444]"
"CBN-PdlC-A3-20180815","[1392484, 1400110, 1412857]"
"CBN-PdlC-A3-20180905","[1412857]"
"CBN-PdlC-A3-20190701","[1393200, 1396471, 1396869, 1397535, 1722444, 1743913]"
"CBN-PdlC-A3-20190722","[1356775, 1357577, 1359521, 1393824, 1395049, 1412857]"
"CBN-PdlC-A3-20190812","[1360826, 1396471]"
"CBN-PdlC-A3-20190909","[1392608]"
"CBN-PdlC-A3-20200629","[1356399, 1396471, 1555067]"
"CBN-PdlC-A3-20200722","[1393314, 1396869, 1412857]"
"CBN-PdlC-A3-20200812","[1412857]"
"CBN-PdlC-A4-20130807","[1400126]"
"CBN-PdlC-A4-20130903","[1363741, 1392608, 1393200, 1396471, 1646703]"
"CBN-PdlC-A4-20140811","[1393200]"
"CBN-PdlC-A4-20140901","[1478563]"
"CBN-PdlC-A4-20150701","[1392608, 1393200]"
"CBN-PdlC-A4-20150810","[1392608, 1393200]"
"CBN-PdlC-A4-20150831","[1393200, 1646703]"
"CBN-PdlC-A4-20160705","[1392608, 1393200, 1397363]"
"CBN-PdlC-A4-20160726","[1392608, 1393200]"
"CBN-PdlC-A4-20170816","[1395990, 1396869, 1397184, 1489036, 1722437, 1743924]"
"CBN-PdlC-A4-20170906","[1361079, 1393946, 1397535, 1742052]"
"CBN-PdlC-A4-20180702","[1394502, 1590997]"
"CBN-PdlC-A4-20180723","[1393200]"
"CBN-PdlC-A4-20180815","[1397042, 1646703, 1743299]"
"CBN-PdlC-A4-20180905","[1393200]"
"CBN-PdlC-A4-20190701","[1396118]"
"CBN-PdlC-A4-20190722","[1397475]"
