quadrat_id,species_ids_5x5,species_ids_7x7,species_ids_9x9,species_ids
2024-CEV3-20240602,"[1394636, 1392608, 1362443, 1396481, 1392598, 1360187]","[1360187, 1360193, 1360208]","[1391989, 1356804, 1395045, 1392608]","[1392608, 1396481, 1360193, 1356804, 1395045, 1362443, 1394636, 1360208, 1391989, 1392598, 1360187]"
CBN-PdlC-A1-20130807,"[1396471, 1396471, 1394641, 1742052, 1391869, 1396471, 1742052, 1359423, 1355992]","[1396471, 1396471, 1396471, 1396471, 1743924]","[1489036, 1392662, 1396471, 1722444, 1392565, 1395990, 1741624, 1394641, 1742052, 1412857, 1396869, 1396185, 1360591, 1392608]","[1392608, 1742052, 1396869, 1489036, 1722444, 1396185, 1360591, 1394641, 1741624, 1743924, 1392565, 1392662, 1396471, 1355992, 1395990, 1412857, 1391869, 1359423]"
CBN-PdlC-A1-20130903,"[1392632, 1394540, 1397468, 1396857, 1396857, 1392407, 1358197, 1742052, 1395974, 1392608, 1737565, 1722444, 1743396, 1392608]","[1392626, 1742052, 1392608, 1394336, 1396417, 1722444]","[1392050, 1412857, 1743971, 1394641, 1742052, 1362745, 1392608, 1722444, 1722437]","[1395974, 1392407, 1394336, 1743396, 1392050, 1362745, 1396417, 1722437, 1722444, 1394641, 1397468, 1737565, 1392608, 1396857, 1743971, 1742052, 1394540, 1392626, 1358197, 1392632, 1412857]"
CBN-PdlC-A1-20140721,"[1390846, 1363741, 1393314, 1390793, 1355992, 1722444, 1743924, 1390846, 1390846, 1363741, 1390846, 1396869]","[1395718, 1743924, 1396869]","[1394911, 1744235, 1363741, 1393771, 1355992, 1426085, 1743924]","[1393314, 1396869, 1395718, 1426085, 1390793, 1744235, 1722444, 1393771, 1743924, 1355992, 1363741, 1390846, 1394911]"
CBN-PdlC-A1-20140811,"[1393824, 1397528, 1393824, 1396733, 1412857, 1397528, 1418612, 1519650, 1743913, 1392608]","[1412857, 1412857, 1392608, 1743913, 1392608]","[1412857, 1395974, 1390793, 1356359, 1392608]","[1393824, 1392608, 1519650, 1395974, 1356359, 1743913, 1390793, 1418612, 1397528, 1412857, 1396733]"
CBN-PdlC-A1-20140901,"[1742052, 1393939, 1737507, 1356359, 1397485, 1395718, 1395974, 1392608, 1741767]","[1392608, 1395063, 1358496, 1392608, 1392608]","[1742052, 1394641, 1646497, 1392608, 1741767, 1363133, 1391840]","[1392608, 1358496, 1646497, 1737507, 1742052, 1391840, 1395718, 1356359, 1395974, 1741767, 1397485, 1394641, 1393939, 1395063, 1363133]"
CBN-PdlC-A1-20150701,[],"[1391503, 1392608]","[1396253, 1395990, 1558164, 1392565, 1391331, 1395974, 1392608]","[1392608, 1391331, 1395974, 1391503, 1558164, 1392565, 1395990, 1396253]"
CBN-PdlC-A1-20150720,"[1391331, 1363741, 1392566, 1394540, 1397500, 1394641, 1412857, 1397528, 1400096, 1697384, 1360654, 1398824, 1355993]","[1397524, 1392608]","[1393824, 1360312, 1396843, 1425936, 1397535, 1742180, 1361382]","[1360654, 1425936, 1397524, 1397528, 1363741, 1397535, 1400096, 1393824, 1398824, 1392566, 1360312, 1394641, 1355993, 1392608, 1391331, 1742180, 1361382, 1697384, 1396843, 1394540, 1412857, 1397500]"
CBN-PdlC-A1-20150831,"[1519650, 1742052]","[1742052, 1393824, 1742052, 1392608]","[1519650, 1394641, 1742052, 1394643, 1412857, 1392614, 1741767, 1392608]","[1393824, 1392608, 1519650, 1742052, 1392614, 1741767, 1394641, 1394643, 1412857]"
CBN-PdlC-A1-20160705,"[1394911, 1389346, 1390846, 1396417, 1398167, 1737669]",[1390846],"[1743971, 1394911, 1390793, 1743646, 1360299, 1392608]","[1392608, 1396417, 1389346, 1743971, 1737669, 1390793, 1360299, 1743646, 1398167, 1390846, 1394911]"
CBN-PdlC-A1-20160726,"[1391331, 1397535, 1390793, 1412857, 1519650, 1389771, 1392608]","[1397046, 1392608]","[1549015, 1394641, 1742052, 1412857, 1744235, 1397467]","[1392608, 1519650, 1391331, 1742052, 1390793, 1389771, 1744235, 1394641, 1397046, 1549015, 1412857, 1397467, 1397535]"
CBN-PdlC-A1-20170816,"[1558164, 1742052, 1393340, 1390793, 1742052, 1414365, 1363741, 1395974]","[1742052, 1742052, 1412857, 1395974, 1392608]","[1360110, 1395990, 1394641, 1742052, 1558164, 1412857, 1395974, 1363741, 1394840, 1392608]","[1392608, 1742052, 1395974, 1390793, 1363741, 1360110, 1394641, 1558164, 1395990, 1394840, 1412857, 1393340, 1414365]"
CBN-PdlC-A1-20170906,"[1519650, 1390898, 1390846, 1742052, 1743913, 1390846, 1361617, 1390846, 1396417, 1390846, 1721729]","[1743971, 1426085, 1391331, 1742052, 1394336, 1394613, 1743913, 1743924, 1390846, 1722437, 1741834, 1390846, 1664563]","[1359511, 1361079, 1390898, 1390934, 1394336, 1411648, 1502503, 1394554, 1489036, 1738627, 1391331, 1742052, 1394613, 1412857, 1743913, 1743924, 1395974, 1390846, 1355992]","[1721729, 1738627, 1395974, 1741834, 1489036, 1359511, 1394336, 1519650, 1426085, 1502503, 1743913, 1390898, 1664563, 1743924, 1394613, 1361079, 1411648, 1396417, 1722437, 1361617, 1390934, 1355992, 1743971, 1742052, 1391331, 1412857, 1394554, 1390846]"
CBN-PdlC-A1-20180702,"[1391331, 1397524, 1397524, 1357130, 1363550, 1398824]","[1397524, 1398824]",[1398824],"[1391331, 1398824, 1357130, 1397524, 1363550]"
CBN-PdlC-A1-20180815,"[1394554, 1359511, 1393224, 1396417]",[],"[1742523, 1423209, 1398824]","[1396417, 1393224, 1423209, 1398824, 1359511, 1394554, 1742523]"
CBN-PdlC-A1-20180905,"[1651162, 1412857, 1356399]",[1412857],"[1394540, 1412857, 1356399]","[1412857, 1651162, 1394540, 1356399]"
CBN-PdlC-A1-20190701,"[1390934, 1393946, 1396869, 1503192, 1722437, 1737655, 1743924, 1359665, 1397524, 1741600, 1741600, 1396417, 1722444, 1743913, 1398824, 1398824]","[1743465, 1355992, 1357988, 1396417, 1722437, 1743924, 1355992, 1394613, 1722437, 1722444, 1743913, 1743924, 1395974, 1398824, 1398824]","[1701506, 1743465, 1737655, 1355992, 1722437, 1743924, 1392565, 1395974, 1398824]","[1701506, 1396869, 1395974, 1397524, 1393946, 1741600, 1357988, 1398824, 1743913, 1359665, 1743924, 1394613, 1392565, 1737655, 1396417, 1722437, 1722444, 1390934, 1503192, 1355992, 1743465]"
CBN-PdlC-A1-20190722,"[1395990, 1743924, 1396869, 1356356, 1743913, 1743645, 1357817, 1390846, 1397528]","[1395990, 1355992, 1396869, 1741834, 1743924, 1396869, 1394613, 1743913, 1743924]","[1425936, 1356775, 1359835, 1356399, 1742180, 1397468]","[1356356, 1396869, 1742180, 1356775, 1743913, 1741834, 1356399, 1425936, 1743924, 1394613, 1395990, 1397528, 1357817, 1359835, 1397468, 1743645, 1390846, 1355992]"
CBN-PdlC-A1-20190812,"[1363741, 1390846, 1396417, 1722437, 1390846, 1396417, 1502503, 1355993, 1397528, 1741706]","[1743971, 1392608, 1390846, 1396869, 1396869]","[1363741, 1743971, 1394540, 1390846]","[1392608, 1396417, 1743971, 1722437, 1396869, 1502503, 1741706, 1394540, 1397528, 1355993, 1363741, 1390846]"
CBN-PdlC-A1-20190909,"[1390793, 1395974, 1355992, 1392608, 1737565]","[1390966, 1392608, 1392608]","[1395974, 1393619, 1362745]","[1392608, 1395974, 1390793, 1393619, 1390966, 1355992, 1362745, 1737565]"
CBN-PdlC-A1-20200629,"[1361528, 1396417, 1391511, 1396417, 1701831, 1722437, 1743396, 1743913, 1743913]","[1394336, 1396417, 1722444, 1743924, 1355992, 1361079, 1390846, 1394336, 1394565, 1396417, 1722437, 1722444, 1743396, 1743924, 1361079, 1396417, 1398816, 1399096, 1701831, 1722437, 1743913, 1361079, 1399096, 1722437, 1743913]",[1356564],"[1394336, 1396417, 1398816, 1399096, 1743396, 1722437, 1394565, 1701831, 1743913, 1722444, 1743924, 1356564, 1391511, 1361528, 1361079, 1390846, 1355992]"
CBN-PdlC-A1-20200722,"[1394540, 1397046, 1549015, 1742052, 1392608, 1396417, 1722437, 1722444, 1355993, 1392608]","[1742052, 1392553, 1392549, 1549015, 1412857, 1392608, 1396417, 1722437, 1722444]","[1392534, 1392549, 1392553, 1549015, 1649664, 1392608]","[1392608, 1396417, 1649664, 1742052, 1722437, 1392549, 1392553, 1394540, 1722444, 1412857, 1397046, 1549015, 1392534, 1355993]"
CBN-PdlC-A1-20200812,"[1355993, 1396417, 1426085, 1355993, 1512231]","[1495503, 1355993]","[1394540, 1356394, 1398824, 1355993, 1358654, 1360299]","[1396417, 1426085, 1512231, 1398824, 1356394, 1360299, 1394540, 1495503, 1355993, 1358654]"
CBN-PdlC-A2-20130807,"[1392767, 1362228, 1396857, 1741624, 1396471, 1356356, 1395990, 1412857, 1741624, 1741880, 1396869, 1396737, 1397468, 1360591, 1396030, 1489036, 1741880, 1396869, 1356370, 1396737, 1391494]","[1396471, 1396869, 1397468, 1412857, 1741880, 1360591, 1355992, 1361079, 1396869, 1701831, 1388915, 1390846, 1396869, 1356370, 1396737, 1396737]","[1396869, 1396471, 1394322, 1356356, 1743971, 1395990, 1741624, 1412857, 1360984, 1395807, 1396737, 1722015]","[1396737, 1396869, 1391494, 1489036, 1394322, 1395990, 1722015, 1362228, 1361079, 1741624, 1741880, 1396030, 1356356, 1701831, 1360591, 1356370, 1355992, 1360984, 1397468, 1395807, 1396857, 1743971, 1388915, 1396471, 1412857, 1390846, 1392767]"
CBN-PdlC-A2-20130903,"[1393830, 1744541, 1395868, 1395990, 1395974, 1396737, 1394895, 1395974, 1437724]","[1396471, 1396869, 1396737, 1394613, 1722444, 1743924]","[1355992, 1361079, 1361514, 1502503, 1743256, 1395974, 1743465, 1356370]","[1396737, 1396869, 1395974, 1395990, 1743256, 1437724, 1395868, 1744541, 1393830, 1502503, 1743924, 1394613, 1361079, 1722444, 1394895, 1356370, 1355992, 1743465, 1361514, 1396471]"
CBN-PdlC-A2-20140721,"[1396737, 1399772, 1356370, 1396737, 1743337, 1396737, 1743913, 1743913]","[1356370, 1743337, 1396869, 1743913]","[1363741, 1356370, 1396737, 1394502, 1396094, 1396869]","[1396737, 1396869, 1394502, 1743337, 1743913, 1356370, 1399772, 1363741, 1396094]"
CBN-PdlC-A2-20140901,"[1360312, 1412857, 1396737, 1390539, 1394789, 1723120, 1742099, 1743924]","[1395990, 1412857, 1742052, 1394322]","[1394322, 1395990, 1743801, 1412857, 1742052, 1392565, 1397046, 1394895, 1395974, 1359521, 1359444, 1391646, 1396471, 1742099, 1743924]","[1396737, 1395974, 1394322, 1742099, 1395990, 1391646, 1359521, 1743924, 1392565, 1397046, 1360312, 1743801, 1390539, 1394895, 1359444, 1742052, 1394789, 1723120, 1396471, 1412857]"
CBN-PdlC-A2-20150720,"[1395990, 1396869, 1394540, 1397524, 1412857, 1393824, 1395974, 1396737, 1398824, 1396737]","[1394540, 1412857, 1396094, 1395974]","[1360312, 1389815, 1394540, 1358147, 1397524, 1412857, 1393200, 1397500, 1394603, 1395974, 1397528, 1396737]","[1393824, 1396737, 1358147, 1396869, 1395974, 1398824, 1394603, 1394540, 1393200, 1397528, 1397524, 1395990, 1389815, 1360312, 1412857, 1397500, 1396094]"
CBN-PdlC-A2-20150810,"[1395974, 1412857, 1361647, 1395974, 1396737, 1395974, 1396737]","[1412857, 1359723]","[1412857, 1357577, 1363741, 1395974]","[1396737, 1395974, 1357577, 1359723, 1361647, 1412857, 1363741]"
CBN-PdlC-A2-20150831,"[1395990, 1412857, 1512231, 1396857, 1395807, 1412857, 1412857, 1412857, 1396737, 1395807, 1395974, 1396737, 1396737]","[1412857, 1395974, 1392535, 1412857]","[1412857, 1396253, 1741624, 1742052, 1356370, 1395974]","[1396857, 1396737, 1742052, 1395974, 1512231, 1356370, 1395990, 1392535, 1741624, 1412857, 1396253, 1395807]"
CBN-PdlC-A2-20160705,"[1609716, 1390641, 1743913, 1741805, 1396737, 1356370]","[1412857, 1393314, 1394336, 1396869, 1398816, 1722444, 1743924, 1743422, 1394336, 1394613, 1743924, 1361079, 1396471, 1395974, 1741805, 1393314]","[1394322, 1397535, 1412857, 1388915, 1394336, 1394613, 1722444, 1743913, 1356370, 1395974, 1396737, 1361079, 1396471, 1741805, 1356359, 1502503]","[1396737, 1396869, 1395974, 1394322, 1397535, 1394336, 1398816, 1393314, 1502503, 1743913, 1390641, 1743924, 1394613, 1361079, 1743422, 1356359, 1722444, 1356370, 1741805, 1388915, 1609716, 1396471, 1412857]"
CBN-PdlC-A2-20160726,"[1519650, 1412857, 1393200, 1519650, 1743913, 1394554, 1412857, 1355992, 1396869, 1395974, 1357081, 1396869]","[1393200, 1412857, 1743913, 1396869, 1743924, 1396869]","[1393200, 1412857, 1394641, 1392565, 1397535, 1395974]","[1519650, 1396869, 1395974, 1357081, 1743913, 1393200, 1394641, 1743924, 1392565, 1355992, 1412857, 1394554, 1397535]"
CBN-PdlC-A2-20170816,"[1741706, 1395990, 1396737, 1394866, 1396737]","[1742052, 1396869, 1395974]","[1393200, 1394911, 1397046, 1395990, 1395807, 1356370, 1395974, 1355992, 1478563, 1398816]","[1398816, 1396737, 1478563, 1742052, 1396869, 1395974, 1741706, 1393200, 1394866, 1356370, 1395990, 1397046, 1355992, 1395807, 1394911]"
CBN-PdlC-A2-20180702,"[1357081, 1357988, 1359444, 1361617, 1396869, 1478563, 1502503, 1503192, 1394613, 1396417, 1743913, 1743924, 1398824, 1389329, 1397524, 1394336, 1396737, 1742180]","[1396869, 1722437, 1722444, 1398824, 1722444, 1743924, 1395974, 1394336, 1396869, 1722437, 1722444, 1743924, 1394336, 1395974, 1396417]","[1398824, 1391427, 1528543, 1395974, 1741805, 1743337, 1394336, 1394613, 1396737, 1357081, 1361079, 1390934, 1393946, 1396417, 1396869, 1397942, 1398184, 1502503, 1503192, 1722437, 1722444, 1737655, 1741834, 1743396, 1743397, 1743924]","[1396737, 1396869, 1395974, 1741834, 1389329, 1397524, 1357081, 1393946, 1394336, 1478563, 1357988, 1743396, 1743397, 1502503, 1398824, 1743913, 1398184, 1743924, 1394613, 1397942, 1361079, 1737655, 1396417, 1391427, 1722437, 1722444, 1361617, 1359444, 1390934, 1503192, 1528543, 1742180, 1743337, 1741805]"
CBN-PdlC-A2-20180723,"[1396857, 1396869, 1396869, 1622908, 1743913, 1396869]","[1396869, 1393200, 1393200, 1391331, 1396869, 1502503]","[1393200, 1396869, 1359853, 1396737, 1743397, 1359162, 1502503]","[1396737, 1391331, 1396869, 1743397, 1502503, 1743913, 1359853, 1393200, 1396857, 1359162, 1622908]"
CBN-PdlC-A2-20180815,"[1363741, 1355992, 1397942, 1478563, 1396869, 1502503, 1412857, 1363741, 1396737, 1363741, 1356370, 1398816, 1356370, 1356370, 1396737, 1392745, 1390846]","[1364038, 1356370, 1396869, 1396869]","[1397353, 1356370, 1356399, 1722015, 1398824, 1743337, 1396737]","[1398816, 1396737, 1478563, 1396869, 1364038, 1502503, 1398824, 1392745, 1397353, 1743337, 1356399, 1356370, 1397942, 1355992, 1412857, 1363741, 1390846, 1722015]"
CBN-PdlC-A2-20180905,"[1359531, 1390955, 1393564, 1394540, 1395990, 1628790, 1653859, 1355992, 1390898, 1391511, 1394336, 1396869, 1743924, 1426085, 1512231, 1394540, 1390846, 1357988, 1394336, 1396869, 1398816, 1722444, 1737494, 1743396, 1743913, 1743924, 1395807, 1743913, 1743924, 1396737, 1396737, 1646497, 1357988, 1390846, 1394336, 1396869, 1390846]","[1410243, 1412857, 1396869, 1394613, 1743913, 1396417, 1396869, 1722444, 1743396, 1743913, 1743924]","[1361079, 1393946, 1743971, 1394613, 1412857, 1393824, 1396869, 1395807, 1359511, 1356871, 1396737, 1394336, 1395974, 1392388, 1396417, 1503192, 1722437, 1722444, 1737655, 1741834, 1743924]","[1396737, 1392388, 1396869, 1395974, 1741834, 1395990, 1391511, 1737494, 1359511, 1393946, 1393564, 1394336, 1398816, 1646497, 1393824, 1357988, 1426085, 1743396, 1512231, 1743913, 1359531, 1390898, 1743924, 1394613, 1361079, 1737655, 1396417, 1410243, 1722437, 1356871, 1722444, 1355992, 1503192, 1395807, 1653859, 1743971, 1390955, 1394540, 1628790, 1412857, 1390846]"
