quadrat_id,species_ids_5x5,species_ids_7x7,species_ids_9x9,species_ids
2024-CEV3-20240602,[1362443],[],[],[1362443]
CBN-PdlC-A1-20130807,[1396471],[1396471],[1396471],[1396471]
CBN-PdlC-A1-20130903,[1392608],"[1392608, 1722444]","[1722444, 1392608]","[1392608, 1722444]"
CBN-PdlC-A1-20140721,[1743924],[1743924],[],[1743924]
CBN-PdlC-A1-20140811,[1392608],"[1412857, 1392608, 1743913]","[1412857, 1395974, 1392608]","[1392608, 1412857, 1395974, 1743913]"
CBN-PdlC-A1-20140901,"[1395974, 1392608]",[1392608],[1646497],"[1392608, 1646497, 1395974]"
CBN-PdlC-A1-20150701,[],[],[1392608],[1392608]
CBN-PdlC-A1-20150720,[],[1392608],[],[1392608]
CBN-PdlC-A1-20150831,[],"[1742052, 1392608]","[1519650, 1394641, 1742052]","[1392608, 1394641, 1519650, 1742052]"
CBN-PdlC-A1-20160705,[],[],[1360299],[1360299]
CBN-PdlC-A1-20160726,[],[1397046],[1394641],"[1394641, 1397046]"
CBN-PdlC-A1-20170816,[1742052],[1742052],"[1742052, 1395974, 1392608]","[1392608, 1742052, 1395974]"
CBN-PdlC-A1-20170906,[],"[1394613, 1743913, 1743924]","[1361079, 1489036, 1391331]","[1391331, 1743913, 1489036, 1743924, 1394613, 1361079]"
CBN-PdlC-A1-20180702,"[1397524, 1357130]",[],[1398824],"[1398824, 1357130, 1397524]"
CBN-PdlC-A1-20180815,[1359511],[],[1398824],"[1398824, 1359511]"
CBN-PdlC-A1-20180905,[],[],[1356399],[1356399]
CBN-PdlC-A1-20190701,[],"[1355992, 1722437, 1743924, 1394613, 1722444, 1743913]","[1743465, 1355992, 1743924, 1741601, 1398824]","[1741601, 1722437, 1398824, 1743913, 1743465, 1722444, 1743924, 1394613, 1355992]"
CBN-PdlC-A1-20190722,"[1396869, 1743913]","[1396869, 1743913]","[1361079, 1393946, 1502503, 1396869]","[1396869, 1502503, 1743913, 1361079, 1393946]"
