"quadrat_id","species_ids"
"2024-CEV3-20240602","[]"
"CBN-PdlC-A1-20130807","[]"
"CBN-PdlC-A1-20130903","[]"
"CBN-PdlC-A1-20140721","['1363426', '1398824']"
"CBN-PdlC-A1-20140811","[]"
"CBN-PdlC-A1-20140901","[]"
"CBN-PdlC-A1-20150701","[]"
"CBN-PdlC-A1-20150720","[]"
"CBN-PdlC-A1-20150831","[]"
"CBN-PdlC-A1-20160705","['1363426']"
"CBN-PdlC-A1-20160726","[]"
"CBN-PdlC-A1-20170816","[]"
"CBN-PdlC-A1-20170906","[]"
"CBN-PdlC-A1-20180702","['1361803', '1363426', '1394360']"
"CBN-PdlC-A1-20180815","[]"
"CBN-PdlC-A1-20180905","['1646497']"
"CBN-PdlC-A1-20190701","[]"
"CBN-PdlC-A1-20190722","[]"
"CBN-PdlC-A1-20190812","[]"
"CBN-PdlC-A1-20190909","[]"
"CBN-PdlC-A1-20200629","[]"
"CBN-PdlC-A1-20200722","[]"
"CBN-PdlC-A1-20200812","[]"
"CBN-PdlC-A2-20130807","['1356402']"
"CBN-PdlC-A2-20130903","[]"
"CBN-PdlC-A2-20140721","['1363426']"
"CBN-PdlC-A2-20140901","[]"
"CBN-PdlC-A2-20150720","['1389330']"
"CBN-PdlC-A2-20150810","[]"
"CBN-PdlC-A2-20150831","[]"
"CBN-PdlC-A2-20160705","[]"
"CBN-PdlC-A2-20160726","[]"
"CBN-PdlC-A2-20170816","['1517773']"
"CBN-PdlC-A2-20180702","[]"
"CBN-PdlC-A2-20180723","[]"
"CBN-PdlC-A2-20180815","['1363426', '1389330']"
"CBN-PdlC-A2-20180905","[]"
"CBN-PdlC-A2-20190701","[]"
"CBN-PdlC-A2-20190722","['1361872', '1394360']"
"CBN-PdlC-A2-20190812","[]"
"CBN-PdlC-A2-20190909","[]"
"CBN-PdlC-A2-20200629","[]"
"CBN-PdlC-A2-20200722","[]"
"CBN-PdlC-A2-20200812","[]"
"CBN-PdlC-A3-20130807","['1394360']"
"CBN-PdlC-A3-20130903","[]"
"CBN-PdlC-A3-20140721","['1389330', '1399772']"
"CBN-PdlC-A3-20140811","['1389330']"
"CBN-PdlC-A3-20140901","[]"
"CBN-PdlC-A3-20150701","['1399772']"
"CBN-PdlC-A3-20150720","[]"
"CBN-PdlC-A3-20150810","[]"
"CBN-PdlC-A3-20150831","['1529289', '1738641']"
"CBN-PdlC-A3-20160705","[]"
"CBN-PdlC-A3-20160726","[]"
"CBN-PdlC-A3-20170816","[]"
"CBN-PdlC-A3-20170906","['1361803', '1389330', '1396253', '1412857']"
"CBN-PdlC-A3-20180702","['1361803']"
"CBN-PdlC-A3-20180723","[]"
"CBN-PdlC-A3-20180815","[]"
"CBN-PdlC-A3-20180905","['1412857']"
"CBN-PdlC-A3-20190701","[]"
"CBN-PdlC-A3-20190722","['1402995']"
"CBN-PdlC-A3-20190812","['1412857']"
"CBN-PdlC-A3-20190909","[]"
"CBN-PdlC-A3-20200629","[]"
"CBN-PdlC-A3-20200722","[]"
"CBN-PdlC-A3-20200812","['1412857']"
"CBN-PdlC-A4-20130807","['1402995']"
"CBN-PdlC-A4-20130903","[]"
"CBN-PdlC-A4-20140811","[]"
"CBN-PdlC-A4-20140901","[]"
"CBN-PdlC-A4-20150701","[]"
"CBN-PdlC-A4-20150810","[]"
"CBN-PdlC-A4-20150831","[]"
"CBN-PdlC-A4-20160705","[]"
"CBN-PdlC-A4-20160726","['1396253', '1412857']"
"CBN-PdlC-A4-20170816","[]"
"CBN-PdlC-A4-20170906","[]"
"CBN-PdlC-A4-20180702","[]"
"CBN-PdlC-A4-20180723","[]"
