quadrat_id,species_ids_5x5,species_ids_7x7,species_ids_9x9,species_ids
2024-CEV3-20240602,"[1360187, 1362443, 1392598, 1392608, 1394636, 1396481]","[1360187, 1360193, 1360203, 1360208, 1360217, 1360307, 1362443, 1363901, 1395045, 1395990, 1398272]","[1360193, 1360208, 1360222, 1360304, 1360307, 1362363, 1362443, 1391360, 1395045, 1395114, 1397516, 1413421, 1738042]","[1398272, 1396481, 1391360, 1362443, 1397516, 1395990, 1395114, 1413421, 1360304, 1360307, 1738042, 1362363, 1360187, 1363901, 1360193, 1360203, 1394636, 1360208, 1392598, 1360217, 1360222, 1392608, 1395045]"
CBN-PdlC-A1-20130807,"[1355992, 1359423, 1391869, 1394641, 1396471, 1742052]","[1358496, 1360591, 1361077, 1361079, 1392608, 1393314, 1396185, 1396471, 1396869, 1397439, 1397468, 1722440, 1741624, 1742052, 1742114, 1743924]","[1358496, 1359921, 1360591, 1391494, 1392565, 1392608, 1392662, 1394322, 1394371, 1394641, 1395990, 1396185, 1396471, 1396869, 1412857, 1489036, 1722444, 1741624, 1742052, 1743397, 1743924]","[1396869, 1391494, 1489036, 1394322, 1392662, 1395990, 1358496, 1393314, 1742114, 1743397, 1359921, 1743924, 1361077, 1392565, 1361079, 1741624, 1397439, 1359423, 1394371, 1722440, 1722444, 1360591, 1394641, 1355992, 1396185, 1397468, 1392608, 1742052, 1396471, 1412857, 1391869]"
CBN-PdlC-A1-20130903,"[1358197, 1392407, 1392608, 1392632, 1394540, 1395974, 1396857, 1397468, 1722444, 1737565, 1742052, 1743396]","[1392608, 1392626, 1392682, 1394336, 1395974, 1396417, 1396857, 1396869, 1701831, 1722444, 1742052]","[1362745, 1392553, 1392608, 1394372, 1394641, 1395974, 1395990, 1396857, 1397123, 1412857, 1722444, 1742052]","[1397123, 1396869, 1395974, 1395990, 1392407, 1394336, 1743396, 1392553, 1392682, 1362745, 1396417, 1394372, 1701831, 1722444, 1394641, 1412857, 1397468, 1737565, 1392608, 1742052, 1394540, 1392626, 1358197, 1392632, 1396857]"
CBN-PdlC-A1-20140721,"[1355992, 1363741, 1390793, 1390846, 1393314, 1396869, 1722444, 1743924]","[1361382, 1363741, 1364072, 1390641, 1394908, 1395718, 1396869, 1397535, 1558360, 1737656, 1743924]","[1355992, 1357142, 1357577, 1361373, 1361382, 1363550, 1363741, 1390898, 1393771, 1394289, 1394414, 1394908, 1394911, 1396471, 1396869, 1397046, 1397535, 1397942, 1398824, 1622908, 1743924]","[1396869, 1395718, 1357577, 1363741, 1397535, 1393314, 1398824, 1390641, 1390898, 1743924, 1397046, 1397942, 1737656, 1390793, 1722444, 1357142, 1558360, 1355992, 1394908, 1361373, 1363550, 1394911, 1361382, 1364072, 1393771, 1394414, 1394289, 1396471, 1622908, 1390846]"
CBN-PdlC-A1-20140811,"[1392608, 1393824, 1396733, 1397528, 1412857, 1418612, 1519650, 1743913]","[1390793, 1392608, 1395974, 1412857, 1743913]","[1356359, 1356401, 1390846, 1392608, 1395974, 1397500, 1397528, 1412857, 1728568, 1742052]","[1392608, 1393824, 1519650, 1742052, 1395974, 1356359, 1743913, 1390793, 1356401, 1418612, 1397528, 1412857, 1728568, 1397500, 1396733, 1390846]"
CBN-PdlC-A1-20140901,"[1356359, 1392608, 1393939, 1395718, 1395974, 1397485, 1737507, 1741767, 1742052]","[1356359, 1358496, 1361091, 1361576, 1391120, 1391840, 1392608, 1394866, 1394895, 1395063, 1558164, 1741767, 1742052]","[1363133, 1391120, 1391331, 1391755, 1391840, 1391841, 1392608, 1394884, 1394895, 1395974, 1622895, 1646497, 1741708, 1741767, 1742052]","[1395974, 1395718, 1391755, 1741708, 1391120, 1393939, 1558164, 1358496, 1646497, 1737507, 1361576, 1394866, 1363133, 1361091, 1394884, 1356359, 1741767, 1394895, 1392608, 1391840, 1391841, 1391331, 1742052, 1397485, 1622895, 1395063]"
CBN-PdlC-A1-20150701,[],"[1391331, 1391503, 1392608, 1394322, 1396144, 1396464, 1742052]","[1360299, 1391331, 1392608, 1394322, 1394641, 1395974, 1396253, 1397535, 1398824, 1412857, 1519650, 1741624, 1742052]","[1392608, 1519650, 1391331, 1742052, 1395974, 1398824, 1360299, 1391503, 1396144, 1396464, 1394322, 1394641, 1741624, 1412857, 1396253, 1397535]"
CBN-PdlC-A1-20150720,"[1355993, 1360654, 1363741, 1391331, 1392566, 1394540, 1394641, 1397500, 1397528, 1398824, 1400096, 1412857, 1697384]","[1355993, 1363622, 1392608, 1394540, 1397524, 1397535, 1412857, 1743304, 1743971]","[1355993, 1356370, 1359835, 1360312, 1360654, 1361872, 1390641, 1394540, 1394641, 1396296, 1396843, 1397046, 1397528, 1397535, 1402995, 1412857, 1425936]","[1360654, 1425936, 1397524, 1397528, 1363741, 1397535, 1400096, 1363622, 1398824, 1390641, 1392566, 1397046, 1360312, 1743304, 1396296, 1361872, 1394641, 1356370, 1355993, 1359835, 1392608, 1391331, 1743971, 1697384, 1396843, 1394540, 1402995, 1412857, 1397500]"
CBN-PdlC-A1-20150831,"[1519650, 1742052]","[1356356, 1360299, 1392608, 1392611, 1393619, 1393824, 1394643, 1398824, 1519650, 1628790, 1742052]","[1355993, 1392608, 1392614, 1393824, 1394641, 1394643, 1395990, 1398824, 1412857, 1519650, 1628790, 1741767, 1742052, 1743971]","[1392608, 1393824, 1519650, 1392611, 1742052, 1356356, 1392614, 1741767, 1398824, 1743971, 1360299, 1394641, 1393619, 1394643, 1412857, 1628790, 1395990, 1355993]"
CBN-PdlC-A1-20160705,"[1389346, 1390846, 1394911, 1396417, 1398167, 1737669]","[1359342, 1360299, 1390846, 1392608, 1394336, 1394540, 1394908, 1394911, 1397535, 1412857, 1722437]","[1355993, 1358496, 1359632, 1360299, 1361079, 1362331, 1390793, 1392608, 1394336, 1394540, 1394613, 1394857, 1394911, 1395935, 1396869, 1397535, 1701831, 1722437, 1722444]","[1396869, 1359632, 1398167, 1362331, 1397535, 1394336, 1358496, 1389346, 1394857, 1360299, 1394613, 1361079, 1396417, 1737669, 1722437, 1701831, 1390793, 1722444, 1355993, 1394908, 1394911, 1392608, 1395935, 1394540, 1359342, 1412857, 1390846]"
