quadrat_id,species_ids_5x5,species_ids_7x7,species_ids_9x9,species_ids
2024-CEV3-20240602,"[1358213, 1360187, 1360193, 1360203, 1362363, 1362443, 1391596, 1392598, 1392608, 1394636, 1395045, 1395101, 1396481, 1397461, 1397466, 1397516, 1738042]","[1360187, 1360208, 1360222, 1360307, 1362363, 1362443]","[1360187, 1360193, 1360208, 1360217, 1360222, 1360223, 1360304, 1360307, 1360874, 1360931, 1362363, 1362443, 1363944, 1363993, 1364120, 1391360, 1391989, 1392599, 1392608, 1392774, 1394359, 1394636, 1394848, 1395045, 1395114, 1395132, 1395715, 1395990, 1396481, 1397516, 1398644, 1400125, 1400175, 1413421, 1737650, 1738042]","[1391360, 1396481, 1395715, 1358213, 1392774, 1362443, 1397516, 1395990, 1364120, 1363993, 1395101, 1394848, 1360931, 1395114, 1413421, 1360304, 1737650, 1360307, 1394359, 1738042, 1362363, 1360187, 1395132, 1400125, 1360193, 1360203, 1394636, 1360208, 1397461, 1392598, 1392599, 1360217, 1397466, 1360222, 1360223, 1392608, 1395045, 1363944, 1360874, 1391596, 1400175, 1398644, 1391989]"
CBN-PdlC-A1-20130807,"[1390677, 1396471, 1519650, 1742052]","[1358119, 1361079, 1396185, 1396471, 1396869, 1412857, 1742052, 1742114]","[1361079, 1394641, 1396185, 1396471, 1741624, 1742052]","[1519650, 1742114, 1742052, 1396869, 1358119, 1396185, 1394641, 1390677, 1412857, 1396471, 1741624, 1361079]"
CBN-PdlC-A1-20130903,"[1358197, 1359282, 1360414, 1389368, 1390793, 1392241, 1392407, 1392608, 1392632, 1392767, 1393618, 1393939, 1394540, 1395974, 1396030, 1396417, 1396857, 1396869, 1397468, 1492664, 1519650, 1722444, 1737494, 1737565, 1741601, 1742052, 1743396, 1743465]","[1391331, 1394336, 1394641, 1395974, 1396857, 1396869, 1492664, 1701831, 1722444, 1742052]","[1391331, 1392553, 1392608, 1394336, 1394641, 1395974, 1395990, 1396857, 1722444, 1742052]","[1396869, 1395974, 1393939, 1737494, 1392407, 1395990, 1360414, 1394336, 1741601, 1519650, 1743396, 1392553, 1359282, 1389368, 1492664, 1396030, 1396417, 1701831, 1390793, 1722444, 1394641, 1393618, 1397468, 1737565, 1392608, 1391331, 1742052, 1743465, 1394540, 1392241, 1358197, 1392632, 1396857, 1392767]"
CBN-PdlC-A1-20140721,"[1363741, 1390846]","[1363741, 1390846]","[1355992, 1357577, 1363741, 1390846, 1394414, 1397535, 1402995]","[1357577, 1394414, 1402995, 1355992, 1363741, 1390846, 1397535]"
CBN-PdlC-A1-20140811,"[1390793, 1393824, 1395974, 1395990, 1396733, 1397528, 1412857, 1418612, 1519650]","[1390793, 1392608, 1395974, 1395990, 1412857, 1418612, 1743913]","[1392608, 1395974, 1412857]","[1393824, 1392608, 1519650, 1395974, 1390793, 1743913, 1418612, 1395990, 1397528, 1412857, 1396733]"
CBN-PdlC-A1-20140901,"[1392608, 1397485, 1558164]","[1392407, 1392608, 1395063, 1395974, 1741767, 1742052]","[1355992, 1358496, 1391331, 1392608, 1394895, 1396185, 1742052]","[1392608, 1358496, 1391331, 1742052, 1395974, 1741767, 1392407, 1397485, 1394895, 1558164, 1395063, 1355992, 1396185]"
CBN-PdlC-A1-20150701,"[1390639, 1391503, 1394322, 1395718, 1396464, 1398167, 1398824, 1412857]","[1394322, 1519650]","[1392608, 1394322, 1396253, 1412857, 1519650, 1742052]","[1392608, 1519650, 1742052, 1395718, 1398824, 1391503, 1396464, 1390639, 1394322, 1398167, 1412857, 1396253]"
CBN-PdlC-A1-20150720,"[1355993, 1359342, 1360654, 1361384, 1363741, 1390846, 1391312, 1391331, 1392566, 1392767, 1394540, 1394641, 1396253, 1396869, 1397500, 1397528, 1397535, 1398824, 1399677, 1400096, 1412857, 1667464, 1697384, 1742053, 1742180, 1743971]","[1360654, 1392608]","[1355993, 1394540, 1394641, 1397535]","[1396869, 1667464, 1360654, 1397528, 1396253, 1363741, 1397535, 1400096, 1398824, 1392566, 1391312, 1394641, 1355993, 1392608, 1391331, 1742180, 1742053, 1743971, 1361384, 1697384, 1394540, 1359342, 1412857, 1397500, 1399677, 1390846, 1392767]"
CBN-PdlC-A1-20150831,"[1412857, 1519650]","[1392611, 1393824, 1519650, 1742052]","[1392608, 1394641, 1412857, 1519650, 1742052]","[1393824, 1392608, 1519650, 1392611, 1742052, 1394641, 1412857]"
CBN-PdlC-A1-20160705,"[1389346, 1390846, 1393314, 1393771, 1394866, 1394911, 1396417, 1398167, 1412857, 1478563, 1495503, 1651363, 1664563, 1737669]","[1355992, 1356359, 1357577, 1359342, 1360299, 1361079, 1363550, 1390793, 1390846, 1390872, 1391120, 1391511, 1392608, 1393824, 1394336, 1394540, 1394613, 1394908, 1394911, 1397535, 1397542, 1412857, 1519650, 1722437, 1743646, 1743913, 1743971]","[1360299, 1390793, 1390846, 1392608, 1394336, 1394613, 1394911, 1396869, 1397535, 1503192, 1722437]","[1396869, 1357577, 1391120, 1398167, 1390872, 1391511, 1743646, 1397535, 1393824, 1394336, 1393314, 1389346, 1478563, 1651363, 1397542, 1519650, 1743913, 1360299, 1394866, 1664563, 1394613, 1361079, 1396417, 1737669, 1722437, 1356359, 1390793, 1495503, 1355992, 1503192, 1394908, 1363550, 1394911, 1392608, 1743971, 1393771, 1394540, 1359342, 1412857, 1390846]"
CBN-PdlC-A1-20160726,"[1361389, 1389771, 1390793, 1391331, 1392553, 1392608, 1394641, 1397046, 1397535, 1398167, 1398824, 1412857, 1519650, 1549015, 1737565, 1743635]",[1394641],"[1394641, 1397046, 1742052]","[1392608, 1519650, 1391331, 1742052, 1398824, 1390793, 1392553, 1389771, 1549015, 1361389, 1394641, 1743635, 1397046, 1398167, 1412857, 1737565, 1397535]"
CBN-PdlC-A1-20170816,"[1390793, 1742052]","[1395990, 1742052]","[1394641, 1558164, 1742052]","[1742052, 1390793, 1394641, 1558164, 1395990]"
CBN-PdlC-A1-20170906,"[1390846, 1396417]","[1390846, 1394336, 1394540, 1396869, 1742052]","[1394336, 1394613, 1395990, 1412857, 1722437]","[1394336, 1396417, 1742052, 1396869, 1722437, 1394540, 1394613, 1395990, 1412857, 1390846]"
